   123.000     75.520     16.440    531.500
   123.500     75.230     16.280    525.900
   124.000     74.990     16.130    519.300
   124.100     74.710     16.110    517.900
   124.200     74.770     15.980    516.700
   124.300     74.810     16.010    516.100
   124.400     74.770     15.900    514.300
   124.500     74.590     15.900    513.200
   124.600     74.520     15.790    512.200
   124.700     74.480     15.780    511.500
   124.800     74.480     15.770    510.000
   124.900     74.470     15.740    508.600
   125.000     74.250     15.730    507.100
   125.090     74.260     15.670    506.500
   125.100     74.260     15.670    506.000
   125.200     74.320     15.670    505.200
   125.300     74.300     15.670    504.300
   125.400     74.140     15.600    503.300
   125.500     74.070     15.620    502.300
   125.600     74.090     15.560    500.700
   125.700     74.010     15.490    499.300
   125.800     73.900     15.450    498.200
   125.900     73.700     15.450    497.100
   126.000     73.750     15.440    496.400
   126.500     73.530     15.310    490.900
   127.000     73.290     15.110    485.100
   127.500     73.040     14.950    479.900
   128.000     72.770     14.780    474.200
