 MH      BR gg        d1      d2    BR ga ga      d1      d2     BR Z ga     d1      d2      BR WW       d1      d2      BR ZZ        d1     d2 

123.0	8.71E-02	+10.38	-10.12	2.27E-03	+5.14	-5.08	1.36E-03	+9.19	-9.00	1.83E-01	+4.46	-4.41	2.18E-02	+4.46	-4.40
123.1	8.71E-02	+10.39	-10.10	2.27E-03	+5.11	-5.07	1.37E-03	+9.18	-9.03	1.85E-01	+4.46	-4.39	2.20E-02	+4.45	-4.40
123.2	8.70E-02	+10.37	-10.11	2.27E-03	+5.16	-5.01	1.38E-03	+9.10	-9.03	1.86E-01	+4.45	-4.38	2.22E-02	+4.46	-4.37
123.3	8.69E-02	+10.36	-10.10	2.27E-03	+5.13	-5.05	1.39E-03	+9.14	-9.01	1.88E-01	+4.46	-4.34	2.25E-02	+4.48	-4.29
123.4	8.69E-02	+10.35	-10.11	2.27E-03	+5.09	-5.06	1.40E-03	+9.12	-8.99	1.89E-01	+4.45	-4.35	2.27E-02	+4.45	-4.35
123.5	8.68E-02	+10.35	-10.09	2.27E-03	+5.13	-5.01	1.41E-03	+9.10	-9.08	1.91E-01	+4.42	-4.35	2.29E-02	+4.42	-4.35
123.6	8.68E-02	+10.33	-10.08	2.27E-03	+5.09	-5.00	1.42E-03	+9.15	-8.96	1.92E-01	+4.41	-4.35	2.31E-02	+4.40	-4.35
123.7	8.67E-02	+10.34	-10.07	2.27E-03	+5.08	-5.03	1.43E-03	+9.07	-8.94	1.94E-01	+4.38	-4.34	2.34E-02	+4.38	-4.34
123.8	8.66E-02	+10.33	-10.06	2.27E-03	+5.09	-4.98	1.44E-03	+9.05	-9.02	1.95E-01	+4.41	-4.30	2.36E-02	+4.41	-4.30
123.9	8.65E-02	+10.33	-10.05	2.27E-03	+5.07	-4.98	1.44E-03	+9.15	-8.90	1.97E-01	+4.37	-4.30	2.38E-02	+4.37	-4.30
124.0	8.65E-02	+10.31	-10.04	2.27E-03	+5.08	-4.98	1.45E-03	+9.09	-8.98	1.99E-01	+4.39	-4.29	2.41E-02	+4.39	-4.28
124.1	8.64E-02	+10.28	-10.06	2.28E-03	+5.04	-4.99	1.46E-03	+8.99	-8.98	2.00E-01	+4.36	-4.28	2.43E-02	+4.36	-4.28
124.2	8.63E-02	+10.29	-10.03	2.28E-03	+5.07	-4.97	1.47E-03	+9.08	-8.92	2.02E-01	+4.32	-4.27	2.45E-02	+4.32	-4.27
124.3	8.63E-02	+10.28	-10.02	2.28E-03	+5.00	-4.97	1.48E-03	+9.03	-8.94	2.03E-01	+4.35	-4.26	2.48E-02	+4.35	-4.26
124.4	8.62E-02	+10.27	-10.01	2.28E-03	+5.00	-4.97	1.49E-03	+9.01	-8.98	2.05E-01	+4.34	-4.25	2.50E-02	+4.33	-4.25
124.5	8.61E-02	+10.27	-10.01	2.28E-03	+5.06	-4.90	1.50E-03	+9.04	-8.90	2.06E-01	+4.32	-4.25	2.52E-02	+4.32	-4.25
124.6	8.60E-02	+10.26	-10.02	2.28E-03	+4.99	-4.98	1.50E-03	+8.98	-8.97	2.08E-01	+4.31	-4.22	2.55E-02	+4.32	-4.22
