  123.0000     1.4460     0.8012     0.1254     3.8420
  123.5000     1.4270     0.7907     0.1250     3.8270
  124.0000     1.4080     0.7809     0.1242     3.8120
  124.1000     1.4050     0.7795     0.1242     3.8090
  124.2000     1.4010     0.7767     0.1241     3.8060
  124.3000     1.3980     0.7749     0.1239     3.8030
  124.4000     1.3940     0.7728     0.1236     3.8000
  124.5000     1.3900     0.7708     0.1235     3.7970
  124.6000     1.3870     0.7690     0.1233     3.7940
  124.7000     1.3830     0.7667     0.1235     3.7910
  124.8000     1.3800     0.7654     0.1230     3.7880
  124.9000     1.3760     0.7631     0.1227     3.7850
  125.0000     1.3730     0.7612     0.1227     3.7820
  125.0900     1.3690     0.7597     0.1227     3.7790
  125.1000     1.3690     0.7593     0.1226     3.7790
  125.2000     1.3650     0.7577     0.1223     3.7760
  125.3000     1.3620     0.7559     0.1224     3.7730
  125.4000     1.3580     0.7544     0.1223     3.7700
  125.5000     1.3550     0.7523     0.1221     3.7670
  125.6000     1.3510     0.7504     0.1224     3.7640
  125.7000     1.3470     0.7485     0.1218     3.7610
  125.8000     1.3440     0.7471     0.1219     3.7580
  125.9000     1.3410     0.7450     0.1218     3.7550
  126.0000     1.3370     0.7431     0.1218     3.7520
  126.5000     1.3200     0.7338     0.1211     3.7380
  127.0000     1.3040     0.7243     0.1203     3.7230
  127.5000     1.2870     0.7153     0.1197     3.7080
  128.0000     1.2710     0.7065     0.1190     3.6940
