  123.0000     0.7414     0.4018     0.0403     1.6310
  123.5000     0.7314     0.3966     0.0400     1.6230
  124.0000     0.7218     0.3915     0.0399     1.6160
  124.1000     0.7198     0.3905     0.0398     1.6140
  124.2000     0.7180     0.3895     0.0397     1.6130
  124.3000     0.7163     0.3885     0.0397     1.6110
  124.4000     0.7146     0.3876     0.0397     1.6100
  124.5000     0.7124     0.3864     0.0397     1.6090
  124.6000     0.7104     0.3854     0.0396     1.6070
  124.7000     0.7082     0.3843     0.0395     1.6060
  124.8000     0.7065     0.3834     0.0394     1.6040
  124.9000     0.7046     0.3823     0.0394     1.6030
  125.0000     0.7026     0.3814     0.0394     1.6010
  125.0900     0.7009     0.3805     0.0394     1.6000
  125.1000     0.7009     0.3805     0.0394     1.6000
  125.2000     0.6989     0.3793     0.0394     1.5980
  125.3000     0.6969     0.3783     0.0393     1.5970
  125.4000     0.6950     0.3774     0.0392     1.5960
  125.5000     0.6930     0.3766     0.0391     1.5940
  125.6000     0.6912     0.3757     0.0391     1.5930
  125.7000     0.6895     0.3745     0.0391     1.5910
  125.8000     0.6875     0.3737     0.0391     1.5900
  125.9000     0.6859     0.3728     0.0391     1.5880
  126.0000     0.6840     0.3717     0.0391     1.5870
  126.5000     0.6749     0.3668     0.0388     1.5800
  127.0000     0.6660     0.3623     0.0385     1.5730
  127.5000     0.6572     0.3578     0.0383     1.5660
  128.0000     0.6488     0.3532     0.0382     1.5590
