123.0          2937.46940305           977.820796073           3905.67786302
123.3          2928.57464612           975.626037638           3896.53879651
123.6          2920.32242424           973.49867381           3886.65052402
123.9          2914.371186           971.351931781           3876.87109765
124.2          2904.8867087           969.150010955           3867.68594629
124.5          2899.96867115           966.879283232           3858.13260634
124.8          2891.62195463           964.641497238           3848.8528161
125.1          2884.02016242           962.506808546           3839.08315541
125.4          2883.1513386           960.249490546           3830.00475234
125.7          2871.78112774           957.977881625           3821.01154519
126.0          2866.55599006           955.698478927           3810.09525596
126.3          2856.9178762           953.324927321           3802.2588763
126.6          2850.51552382           951.034065059           3792.98293159
126.9          2842.45716433           948.899901254           3790.22848571
127.2          2835.24535573           946.787012664           3774.13587383
127.5          2829.3036053           944.642189844           3768.54396973
127.8          2821.35732934           942.227964993           3762.26646871
128.1          2815.41192421           940.705275776           3753.70288244
